id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1258180012549476496,21,1258170980371796048,2024-07-03T21:58:10.846+00:00,demtortilla_60949,demtortilla,1242248892804763712,assets\a_c1a2d0423471e6287ce2d2c69bf8abe5-C5FA2.gif,
1258180016169029683,Default,,2024-07-03T21:58:11.709+00:00,demtortilla_60949,demtortilla,1242248892804763712,assets\a_c1a2d0423471e6287ce2d2c69bf8abe5-C5FA2.gif,Hi <@1256039663194345533>  - this is a volunteer welcome channel but you should definitely comment this in the <#1250550849998946417> channel where folks can be more helpful with tactics around sharing content.
1267223402301751399,Default,,2024-07-28T20:53:22.981+00:00,vanessaromo_36475,Vanessa Romo CA,1251589167444525188,assets\d9e12f31f06ecedb62c3f5f9a6569eab-44BB7.png,I had an issue on instagram where they claimed my posts are partially false information.
1267657807050707014,Reply,1267223402301751399,2024-07-30T01:39:33.144+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,"<@1251589167444525188> You may wish to use this form to alert campaign staff about the issue you're having with meta (who owns Instagram and Facebook). 
Meta Content Flags
https://docs.google.com/forms/d/e/1FAIpQLSf-zsdDPQTpIqronNb423YP_cOQbJrg9xf4R-ZU5zLpkkZHkg/viewform"
1270189645178601473,Default,,2024-08-06T01:20:10.393+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"<@1266796930743271489> Meta is using [biased sources for ""fact-checking""](https://www.facebook.com/TheOther98/posts/pfbid02WQpiMT5Ukn8GKGUhJ5hn7ki4yff1y3T5F1k4VM6XiYoFqVTRUmrEormedJumNdc5l)"
1270193729659211869,Default,,2024-08-06T01:36:24.209+00:00,danielleconger,Danielle Conger (MD/ FL),1266796930743271489,assets\8afd75fe2c93e7ef932537117d5f157d-751E0.png,<@791857656897732648> is there anything that can be done?
1270193919472173120,Reply,1270193729659211869,2024-08-06T01:37:09.464+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,The campaign is monitoring with the above Google Form.
1273384037871783979,Default,,2024-08-14T20:53:32.96+00:00,deedee21949,DeeDee2,861754434879094797,assets\4e819863b5ccb6d94e03a81af21fb089-7AB95.png,My instagram post on 2025 from Dems was also reported for inaccurate information from The Dispatch . Anything we can do?
1273386484090667181,Reply,1273384037871783979,2024-08-14T21:03:16.184+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Submit the above Google Form.
1273407234499674243,Default,,2024-08-14T22:25:43.467+00:00,deedee21949,DeeDee2,861754434879094797,assets\4e819863b5ccb6d94e03a81af21fb089-7AB95.png,I sent a note to instagram asking what qualifies The Dispatch to be the arbiter for content. All of a sudden I can’t post anything from reach to instagram am I being blocked? The rest of the app is ok
1273410819211661322,Default,,2024-08-14T22:39:58.129+00:00,deedee21949,DeeDee2,861754434879094797,assets\4e819863b5ccb6d94e03a81af21fb089-7AB95.png,"I reinstalled the app, but I wonder if they did that on purpose seems to be working now"
1273431274744184842,Default,,2024-08-15T00:01:15.108+00:00,deedee21949,DeeDee2,861754434879094797,assets\4e819863b5ccb6d94e03a81af21fb089-7AB95.png,Update on problem look like nothing I shared is uploaded Looks like I’m blocked from using  reach
1273431651376169101,Reply,1273431274744184842,2024-08-15T00:02:44.904+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Try reinstalling and go to <#1242256950402744431> if it doesn't work.
